id,企业名称,统一社会信用代码,所在地区,主营业务,产品信息,产品类型,获批年份,受理号,数据来源,来源URL,验证状态,创建日期,备注
COM-0045,厦门大学,,,,重组呼吸道合胞病毒疫苗（CHO细胞）,,,CXSL2501087,CDE-临床试验默示许可,,待验证,2026-05-12,
COM-0046,合源生物,,,,纳基奥仑赛注射液（源瑞达）,CAR-T,2023,,NMPA已获批产品,,待验证,2026-05-12,
COM-0047,合源生物科技（天津）有限公司,,,,抗CD19嵌合抗原受体T细胞注射液,,,CXSL1800106,CDE-突破性治疗公示,,待验证,2026-05-12,
COM-0048,吉林大学第一医院,,吉林,干细胞临床研究,,,,,卫健委备案,,待验证,2026-05-12,
COM-0049,吉林省拓华生物科技有限公司,,,,人脐带间充质干细胞注射液,,,CXSL2600094,CDE-临床试验默示许可,,待验证,2026-05-12,
COM-0050,吉诺卫（廊坊临空自贸区）生物制品有限公司,,,,冻干人用狂犬病疫苗（人二倍体细胞）,,,CXSL2600080,CDE-临床试验默示许可,,待验证,2026-05-12,
COM-0051,吉诺卫（河北）生物科技有限公司,,,,冻干人用狂犬病疫苗（人二倍体细胞）,,,CXSL2600080,CDE-临床试验默示许可,,待验证,2026-05-12,
COM-0052,和元生物,,上海,细胞制备CDMO,,,,,企业信息,,待验证,2026-05-12,
COM-0053,四川大学华西医院,,四川,干细胞临床研究,,,,,卫健委备案,,待验证,2026-05-12,
COM-0054,四川明瑞佳生物科技有限公司,,,,重组带状疱疹疫苗（CHO细胞）,,,CXSL2600443,CDE-受理品种信息,,待验证,2026-05-12,
COM-0055,四川省脐带血造血干细胞库,,四川,脐带血存储,,,,,卫健委批准,,待验证,2026-05-12,
COM-0056,四川省药品检验研究院,,四川,细胞产品质量检测,,,,,药监局,,待验证,2026-05-12,
COM-0057,国家干细胞转化资源库,,上海,干细胞资源库,,,,,科技部,,待验证,2026-05-12,
COM-0058,国家细胞治疗产品研究与评价工程技术研究中心,,北京,细胞治疗研究,,,,,科技部,,待验证,2026-05-12,
COM-0059,复旦大学附属中山医院,,上海,干细胞临床研究,,,,,卫健委备案,,待验证,2026-05-12,
COM-0060,复星凯特,,,,阿基仑赛注射液（奕凯达）,CAR-T,2021,,NMPA已获批产品,,待验证,2026-05-12,
COM-0061,复星雅立峰（大连）生物制药有限公司,,,,冻干人用狂犬病疫苗（Vero细胞）,,,CXSS2200072,CDE-上市药品信息,,待验证,2026-05-12,
COM-0062,天津医科大学总医院,,天津,干细胞临床研究,,,,,卫健委备案,,待验证,2026-05-12,
COM-0063,天津市脐带血造血干细胞库,,天津,脐带血存储,,,,,卫健委批准,,待验证,2026-05-12,
COM-0064,安徽智飞龙科马生物制药有限公司,,,,冻干乙型脑炎灭活疫苗（人二倍体细胞）,,,CXSL2600147,CDE-临床试验默示许可,,待验证,2026-05-12,
COM-0065,山东省立医院,,山东,干细胞临床研究,,,,,卫健委备案,,待验证,2026-05-12,
COM-0066,山东省脐带血造血干细胞库,,山东,脐带血存储,,,,,卫健委批准,,待验证,2026-05-12,
